id	category	user_question	search_round_questions	standard_answer	expected_paths	required_quote	allowed_search_terms	expected_match_ids	max_expansions	stop_condition	review_status	reviewer
Q001	file-path-symbol	哪个 RTL 文件定义了 VX_cluster 模块？	"[""哪个 RTL 文件定义了 VX_cluster 模块？""]"	VX_cluster 模块定义在 hw/rtl/VX_cluster.sv。	hw/rtl/VX_cluster.sv	module VX_cluster import VX_gpu_pkg::*;	VX_cluster;module	V026	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q002	file-path-symbol	哪个 RTL 文件定义了 VX_socket 模块？	"[""哪个 RTL 文件定义了 VX_socket 模块？""]"	VX_socket 模块定义在 hw/rtl/VX_socket.sv。	hw/rtl/VX_socket.sv	module VX_socket import VX_gpu_pkg::*;	VX_socket;module	V029	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q003	file-path-symbol	哪个 RTL 文件定义了 Vortex 模块？	"[""哪个 RTL 文件定义了 Vortex 模块？""]"	Vortex 模块定义在 hw/rtl/Vortex.sv。	hw/rtl/Vortex.sv	module Vortex import VX_gpu_pkg::*, VX_trace_pkg::*; (	Vortex;module	V030	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q004	file-path-symbol	哪个 RTL 文件定义了 Vortex_axi 模块？	"[""哪个 RTL 文件定义了 Vortex_axi 模块？""]"	Vortex_axi 模块定义在 hw/rtl/Vortex_axi.sv。	hw/rtl/Vortex_axi.sv	module Vortex_axi import VX_gpu_pkg::*; #(	Vortex_axi;module	V031	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q005	file-path-symbol	哪个 RTL 文件定义了 VX_cache 模块？	"[""哪个 RTL 文件定义了 VX_cache 模块？""]"	VX_cache 模块定义在 hw/rtl/cache/VX_cache.sv。	hw/rtl/cache/VX_cache.sv	module VX_cache import VX_gpu_pkg::*; #(	VX_cache;module	V032	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q006	file-path-symbol	哪个 RTL 文件定义了 VX_cache_amo 模块？	"[""哪个 RTL 文件定义了 VX_cache_amo 模块？""]"	VX_cache_amo 模块定义在 hw/rtl/cache/VX_cache_amo.sv。	hw/rtl/cache/VX_cache_amo.sv	module VX_cache_amo import VX_gpu_pkg::*; #(	VX_cache_amo;module	V033	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q007	file-path-symbol	哪个 RTL 文件定义了 VX_cache_flush 模块？	"[""哪个 RTL 文件定义了 VX_cache_flush 模块？""]"	VX_cache_flush 模块定义在 hw/rtl/cache/VX_cache_flush.sv。	hw/rtl/cache/VX_cache_flush.sv	module VX_cache_flush import VX_gpu_pkg::*; #(	VX_cache_flush;module	V034	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q008	file-path-symbol	哪个 RTL 文件定义了 VX_alu_unit 模块？	"[""哪个 RTL 文件定义了 VX_alu_unit 模块？""]"	VX_alu_unit 模块定义在 hw/rtl/core/VX_alu_unit.sv。	hw/rtl/core/VX_alu_unit.sv	module VX_alu_unit import VX_gpu_pkg::*; #(	VX_alu_unit;module	V035	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q009	file-path-symbol	哪个 RTL 文件定义了 VX_bar_unit 模块？	"[""哪个 RTL 文件定义了 VX_bar_unit 模块？""]"	VX_bar_unit 模块定义在 hw/rtl/core/VX_bar_unit.sv。	hw/rtl/core/VX_bar_unit.sv	module VX_bar_unit import VX_gpu_pkg::*; #(	VX_bar_unit;module	V036	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
Q010	file-path-symbol	哪个 RTL 文件定义了 VX_commit 模块？	"[""哪个 RTL 文件定义了 VX_commit 模块？""]"	VX_commit 模块定义在 hw/rtl/core/VX_commit.sv。	hw/rtl/core/VX_commit.sv	module VX_commit import VX_gpu_pkg::*; #(	VX_commit;module	V037	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
