id	category	user_question	search_round_questions	standard_answer	expected_paths	required_quote	allowed_search_terms	expected_match_ids	max_expansions	stop_condition	review_status	reviewer
S001	file-path-symbol	哪个 RTL 文件定义了 VX_core 模块？	"[""哪个 RTL 文件定义了 VX_core 模块？""]"	VX_core 模块定义在 hw/rtl/core/VX_core.sv。	hw/rtl/core/VX_core.sv	module VX_core import VX_gpu_pkg::*; #(	VX_core;module	V038	1	找到模块声明及其Path即可停止	SOURCE_VERIFIED	Codex/source-check
S002	file-path-symbol	Vortex GPGPU 的项目入口文档是哪一个？	"[""Vortex GPGPU 的项目入口文档是哪一个？""]"	项目入口是 Vortex 的 README.md。	README.md	Vortex GPGPU	Vortex GPGPU;README	V001	1	找到项目标题及Path即可停止	SOURCE_VERIFIED	Codex/source-check
S003	file-path-symbol	哪个设计文档说明 vortex2.h Runtime API？	"[""哪个设计文档说明 vortex2.h Runtime API？""]"	目标文件是 docs/designs/vortex_runtime_api.md。	docs/designs/vortex_runtime_api.md	Vortex Runtime API (`vortex2.h`) — Design	vortex_runtime_api;vortex2.h	V025	1	找到标题及Path即可停止	SOURCE_VERIFIED	Codex/source-check
S004	file-path-symbol	vx_device_open 接口定义在哪个文件？	"[""vx_device_open 接口定义在哪个文件？""]"	vx_device_open 定义在 sw/runtime/include/vortex2.h。	sw/runtime/include/vortex2.h	vx_result_t vx_device_open (uint32_t index, vx_device_h* out);	vx_device_open;vx_device_h	V052	1	找到函数声明及Path即可停止	SOURCE_VERIFIED	Codex/source-check
S005	file-path-symbol	哪个测试文件包含 Vortex Runtime API 的 int main 入口？	"[""哪个测试文件包含 Vortex Runtime API 的 int main 入口？""]"	目标文件是 tests/runtime/test_basic.cpp。	tests/runtime/test_basic.cpp	int main() {	test_basic.cpp;int main	V695	1	找到入口函数及Path即可停止	SOURCE_VERIFIED	Codex/source-check
S006	file-path-symbol	OpenTitan Earl Grey 2 的芯片数据手册是哪一个文件？	"[""OpenTitan Earl Grey 2 的芯片数据手册是哪一个文件？""]"	目标文件是 hw/top_earlgrey/doc/datasheet.md。	hw/top_earlgrey/doc/datasheet.md	OpenTitan Earl Grey 2 (Discrete Chip) Datasheet	Earl Grey 2;Datasheet	O001	1	找到数据手册标题及Path即可停止	SOURCE_VERIFIED	Codex/source-check
S007	file-path-symbol	Earlgrey Memory Map 在哪个文件？	"[""Earlgrey Memory Map 在哪个文件？""]"	目标文件是 hw/top_earlgrey/doc/memory_map.md。	hw/top_earlgrey/doc/memory_map.md	Earlgrey Memory Map	Earlgrey Memory Map;memory_map	O002	1	找到标题及Path即可停止	SOURCE_VERIFIED	Codex/source-check
S008	file-path-symbol	ast_dft 模块定义在哪个 RTL 文件？	"[""ast_dft 模块定义在哪个 RTL 文件？""]"	ast_dft 定义在 hw/top_earlgrey/ip/ast/rtl/ast_dft.sv。	hw/top_earlgrey/ip/ast/rtl/ast_dft.sv	module ast_dft (	ast_dft;module	O030	1	找到模块声明及Path即可停止	SOURCE_VERIFIED	Codex/source-check
S009	chinese-natural-language	Vortex 缓存子系统的主要特性在哪里说明？	"[""Vortex 缓存子系统的主要特性在哪里说明？""]"	Vortex Cache Subsystem 文档列出了缓存子系统的主要特性。	docs/designs/cache_subsystem.md	The Vortex cache subsystem has the following main properties:	cache subsystem;main properties	V009	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
S010	chinese-natural-language	Vortex Command Processor 的控制平面包含哪些实现部分？	"[""Vortex Command Processor 的控制平面包含哪些实现部分？""]"	控制平面范围包含硬件、模拟器使用的功能对应实现和驱动它的异步 Runtime。	docs/designs/command_processor.md	the Vortex Command Processor control plane — the hardware	Command Processor;control plane	V010	1	证据足以直接回答问题即可停止	SOURCE_VERIFIED	Codex/source-check
