id	language	repository	commit_sha	entrypoint_path	topic	source_files	questions
python-01	python	psf/black	f03ee113c9f3dfeb477f2d4247bfb7de2e5f465c	src/black	formatter	28	10
python-02	python	python-poetry/poetry	21ffd99274d299bd6d2b7b0cdd7ba273fdd941be	src/poetry	package-manager	183	10
python-03	python	locustio/locust	6241e9cf0a5c296da98abfaeb9d66d0ad1db2390	locust	testing	64	10
python-04	python	pyg-team/pytorch_geometric	af0f5f44d4dfa8accd898df3e8523d06b67940b0	torch_geometric	deep-learning	598	10
python-05	python	openai/openai-python	e41abf7b7dbc1e744d167f748e55d4dedfc0dca7	src/openai	api	189	10
python-06	python	mlc-ai/mlc-llm	068d5ea9ca556f2f7a9603537b4f966da12b11f6	mlc_llm	deep-learning-deployment	49	10
python-07	python	reactive-python/reactpy	4307a09dfa75e6c1b10a285e5ae4bdf0323cd018	src/py/reactpy/reactpy	frontend	47	10
python-08	python	marshmallow-code/marshmallow	b8149cec77d16357d11b08f86de3b13e6fe02fa0	src/marshmallow	schema	13	10
python-09	python	ethereum/web3.py	257f464801d11431bf09132fb30bbeeb5937542e	web3	web3	149	10
python-10	python	Ciphey/Ciphey	5dfbe9330070d4aefc997e5d2648155a136a3757	ciphey	cryptography	74	10
cpp-01	cpp	apache/logging-log4cxx	502f5711809e7f48c215164e374a5df62821ed52	src/main/cpp	logging	156	10
cpp-02	cpp	skypjack/uvw	ba10b27646035594fc1dd9525dede8573b71a7d7	src	network	54	10
cpp-03	cpp	ClickHouse/clickhouse-cpp	0fb483543b313a0979b4dbd130f834352a034ba8	clickhouse	database	75	10
cpp-04	cpp	polybar/polybar	11b522c313f7b2b0a10063721ec8b0bf544de6f4	src	developer-tool	97	10
cpp-05	cpp	drogonframework/drogon	294035beb96f6d474d501c210a1b403b0b0dedb6	lib/src	web-framework	96	10
cpp-06	cpp	sass/node-sass	6081731aac89ce4612fe4839d4c6329539c0d8e1	src	css-compiler	149	10
cpp-07	cpp	ml-explore/mlx	91eba8e4856ba9a629408e18a9d0c1e79a22dab0	mlx	machine-learning	150	10
cpp-08	cpp	scylladb/seastar	b74a027c819ee5b9bfcee4f32edf8f37017bba12	src	network	100	10
cpp-09	cpp	WasmEdge/WasmEdge	a5e6f2d011776a1d997586b6e9af0ec01efa3642	lib	wasm	89	10
